Emailtext;Department
I have a question about my last bill. Could someone help me understand the costs?;accounting
When will the new product be launched? We are very interested in the features and price.;marketing
My computer won't start properly and displays an error message. Can you help me fix this?;IT
How can I update my account information because my email address has changed?;customer service
When will my order be delivered? We urgently need the goods for a project.;logistics
Are there currently any open positions on your team? I would like to receive more information about them.;staff
The latest advertising campaign seems to have a few errors in the text. Could this be checked?;marketing
We need additional licenses for a new software. Can you place the order?;IT
My invoice shows an incorrect payment. Could this be checked and corrected?;accounting
Can you give me details about health insurance? I have to make a decision soon.;staff
The delivered product does not match the order. How can I arrange an exchange?;customer service
We need an urgent delivery for an upcoming project. Is this possible?;logistics
I got a new laptop but I can't set it up properly. Can you help me?;IT
I would like to cancel my subscription and request a refund. Please confirm the process.;customer service
Please process the payroll by the end of this week. Are there any outstanding documents?;accounting
Our department needs an update on the latest software tools. Is there training available?;staff
I need to arrange an urgent delivery abroad. Can you confirm the delivery date?;logistics
Could you give us the details of the social media strategy for next month?;marketing
would need to update the contact details of the employees in the system. Several changes are necessary.;staff
There appears to be an incorrect amount on my bill. Could someone check this?;accounting
My password no longer works. Can you reset it for me?;IT
I would like to know more about current marketing trends. Do we have an overview of this?;marketing
This month's payroll appears to be incomplete. Can you correct this?;accounting
Can you tell me what training is currently available for employees?;staff
My order's shipping status isn't showing any updates. What's going on?;logistics
Please let me know when I can start email updates for customers.;marketing
Our computer systems are slower than usual. Could you check the network?;IT
I would like to take out additional health insurance. Please send me the documents.;staff
The sales report needs some corrections. Who is responsible for this?;accounting
Please ensure that the new marketing guidelines are sent to everyone.;marketing
Our employees need access to a specific software tool. Can you provide the licenses?;IT
I have questions about retirement planning. Can you explain the options available to me?;staff
My shipment seems to be delayed. Can you check the status for me?;logistics
Any news about the planned launch of the product? We need the latest details.;marketing
I'm having trouble accessing my account. Please check the settings.;IT
The last cash balance appears to be incorrect. Can you investigate this further?;accounting
Can you send me the list of open training courses?;staff
Our order arrived damaged. What should we do next?;logistics
Our company is planning an event. Can you develop a marketing concept?;marketing
The new software update is not working properly. Do you have a suggestion to solve the problem?;IT
My printer shows an error message and won't print. Can you solve the problem?;IT
When is the planned launch of our new product? I need the latest information about it.;marketing
Employee access to the company website is not working. Can you check the access?;IT
I have a question about retirement planning and need more detailed information.;staff
A delivery has not yet arrived, although it should have arrived long ago. Can you check the status?;logistics
Can you please send me a copy of my latest pay stub?;accounting
The new marketing strategy for the next quarter is not clear. Could you summarize the main points?;marketing
We received the order but some items are missing. What do we do next?;customer service
Is there a new email template we should use to communicate with our customers?;marketing
My password has been reset but I still can't log in.;IT
I would like to know when the work guidelines training will be available again.;staff
There are irregularities in the distribution of salaries for this quarter. Can you investigate this?;accounting
When will the new product line be launched? We have had many inquiries about it.;marketing
The server is down and we can't access our files. Can you fix this quickly?;IT
I would like to update my contact details. Can you please send me the relevant forms?;staff
The new policy on employee benefits is unclear. Could you give me more information?;staff
We have a problem with the latest delivery. Some of the goods were damaged. What should we do?;logistics
Can you review the new social media campaign? I have a few suggestions for improvement.;marketing
I need confirmation of payment for my last order.;accounting
We need help sending a package abroad.;logistics
A marketing campaign needs to be adjusted because the target audience has changed. Can we adapt this at short notice?;marketing
Accounting shows an overpayment on my last invoice. Can you clarify this?;accounting
There was a problem with our web server and customers were unable to access the website.;IT
I have a question about the training programs offered for new employees.;staff
The last shipment was incomplete. When can I expect the rest of the delivery?;logistics
Could you please correct the billing error in my account?;accounting
The conference rooms need to be reserved. Can you do this for the upcoming meetings?;staff
The last invoice contains an incorrect item number. Can you correct this?;accounting
Shipping our products is taking longer than expected. Are there delays in logistics?;logistics
Can you send me the current brochure for our product marketing?;marketing
I need a copy of the employment contract for inspection.;staff
Our CRM system is not working properly and we are losing customer data. Can you investigate this?;IT
The confirmation for payment of the last invoice is missing. Please check this.;accounting
The security policy update is unclear. Can you explain the main changes?;staff
The delivery was sent to the wrong address. How can we quickly correct this?;logistics
We need access to the new marketing platform. Can you set this up?;marketing
I'm having problems with the email configuration. The emails aren't being delivered. Can you help me?;IT
When is the next salary transfer due?;accounting
The delivery date for an order was missed. Can you correct this?;logistics
Are there any new materials for the upcoming employee development training?;staff
A customer asks if we have a return option for his product;customer service
My printer has stopped working and is showing an error;IT
We need support in planning the new marketing campaign;marketing
Can you update the personnel planning for the coming months;human resources department
I have a request for a new project from an interested party;marketing
The invoice for the last order is incorrect;accounting
A supplier contacted us regarding a delay in the last order;logistics
When will we receive the current figures for the monthly report;accounting
A customer asked if he could return a product;customer service
My email login details don't work;IT
My laptop won't start. Can you please help me;IT
I have a question about the billing of my last order;accounting
The customer is dissatisfied with his delivery and wants a refund;customer service
There was an error in the product description on the website;marketing
Please book the costs for the meeting next week;accounting
My access to the internal server is blocked, please activate it;IT
Our supplier list needs to be updated. Please prepare the data;logistics
My computer keeps crashing. Can you check;IT
I have questions about the billing of my last order;accounting
The customer wants a refund for the last order;customer service
Need the current sales figures from the last quarter;marketing
There is an error on the product page on our website;marketing
Can you book the cost of the conference next week;accounting
A customer is interested in our new product and would like a presentation;marketing
My access to the server has been blocked, please reactivate;IT
The supplier list needs to be updated for the upcoming project;logistics
A customer asks if we have a return option for his product;customer service
My printer keeps showing error messages, please help;IT
We need support to plan our new campaign;marketing
Can you update the personnel planning for the coming quarter;human resources department
Received a request for a new project from a potential customer;marketing
The invoice for the last order is incorrect;accounting
A supplier has informed us of a delay in the last delivery;logistics
When do we receive the figures for the month-end closing;accounting
The customer wants to know if he can return a product;customer service
The login details for my email account do not work;IT
A customer needs a detailed explanation of the last delivery;customer service
Please book the travel expenses for the last business trip;accounting
Our printer shows a hardware error and no longer prints pages;IT
We need current market analyses for the new product;marketing
Can you take over the contract creation for the new employee;human resources department
My laptop won't boot anymore, what can I do;IT
The customer would like to organize a return of his order;customer service
Please check the current figures of the sales report;marketing
Last month’s sales figures seem to differ;accounting
A customer asks about the return policy for defective products;customer service
An employee needs help setting up his work cell phone;IT
Our new product will be launched next week, please prepare the documents;marketing
A new employee starts next week, please prepare the workplace;human resources department
There is a problem with the configuration of my printer;IT
A customer wants to know if he can change his order;customer service
Can you update last month's sales analysis;marketing
Please prepare the reports for the department meeting;accounting
customer is dissatisfied with the support and demands an explanation;customer service
The server access no longer works, you can check this;IT
We are planning a new marketing strategy for the coming quarter;marketing
An employee must be registered for further training;human resources department
My software keeps showing error messages, what should I do;IT
A customer would like to request a change to his order;customer service
Monthly sales figures are available, please create report;marketing
Please enter the invoice for the purchase of goods in the system;accounting
The customer asks if he can return the item;customer service
My email account does not show any new messages, please check;IT
The customer is dissatisfied with the order process;customer service
Our new marketing approach will be presented next week;marketing
The contracts for the new employees must be prepared;human resources department
The connection to the printer is interrupted, please check;IT
customer would like information about return options;customer service
Sales data for the last quarter must be adjusted;marketing
Please check the latest sales figures for the annual statement;accounting
A customer asks if a return of the last order is possible;customer service
My connection to the server is unstable, can you analyze this;IT
A new approach to brand advertising is to be developed;marketing
The customer wants to know the status of his order;customer service
Please prepare the reports for the coming quarter;accounting
A customer asks for a return;customer service
My login details no longer work;IT
A customer requests information about his returned product;customer service
Please prepare the documents for the next marketing round;marketing
Our new employee needs support during the induction process;human resources department
The computer connection to the network is unstable;IT
The customer asks about the return conditions for purchased items;customer service
The department reports for the last financial audit must be adjusted;accounting
The customer wants to know whether a return for his product is possible;customer service
Access to my work software does not work;IT
A customer asked about a return option for his product;customer service
Sales forecasts must be adjusted for the annual target;marketing
The invoice for the last purchase still needs to be recorded;accounting
A customer wants to return his last purchase;customer service
My network access is blocked, please check;IT
The customer complained about the long delivery time;customer service
The market analysis for the new product is completed;marketing
Please organize the training for the new employees;human resources department
I can't save files to the network drive;IT
The customer would like to receive information about return conditions;customer service
Sales figures for the next quarter must be forecast;marketing
The customer would like to know whether a return of the product is possible;customer service
The connection to our printer is faulty, please help;IT
The invoices for the last sales are missing in our system;accounting
A customer asks about return options for his last purchased product;customer service
The new employee documents must be checked and filed;human resources department
The scanner shows error messages and does not print anything;IT
Our new approach to marketing is being prepared;marketing
A customer wants to know how to initiate a return;customer service
Our server connection is unstable;IT
A customer complains about a defect in his product;customer service
Please check the sales reports for the month-end closing;accounting
Company policies for returns need to be clarified;customer service
The laptop shows an error when booting;IT
A customer asks for information on how to return his defective item;customer service
Hi IT team, I hope you are well. I want to install a new software for our team.;IT
Could you please send me my last pay slip?;accounting
I have a question about last quarter's billing.;accounting
When is the next salary payment?;accounting
Can you release the invoice to our business partners?;accounting
I discovered a discrepancy on my last bill.;accounting
Could we check the status of the last order?;logistics
Our inventory needs to be updated urgently.;logistics
Do we have a tracking number for delivery to the customer?;logistics
Please check the delivery dates for the new products.;logistics
We are experiencing a delay in receiving our goods, could you clarify this?;logistics
I need approval for a new advertising plan.;marketing
The current campaign is very successful.;marketing
When does the next social media campaign start?;marketing
We have developed a new strategy for branding. Could you take a look at it?;marketing
Please forward the sales data to the marketing team.;marketing
My laptop is no longer working properly, could someone help me?;IT
I'm having trouble accessing my email, could you please check this?;IT
The password for my account doesn't work.;IT
When is the next software update planned?;IT
I need a new license for the design software.;IT
I have a question about the new employment contracts.;staff
Could you please send me the details of the new health insurance regulations?;staff
How many vacation days do I have left?;staff
Please acknowledge receipt of my letter of termination.;staff
Is there a new regulation regarding teleworking?;staff
Could you please send me the materials for the next training?;human resources department
When is the next employee workshop planned?;human resources department
Is there information about new training opportunities?;human resources department
would like to book a training course on conflict management.;human resources department
Can you help me plan employee events?;human resources department
